Account,NAME,Site,BILLINGSTREET,BILLINGCITY,BILLINGSTATE,BILLINGPOSTALCODE,BILLINGCOUNTRY,SHIPPINGSTREET,SHIPPINGCITY,SHIPPINGSTATE,SHIPPINGPOSTALCODE,SHIPPINGCOUNTRY,PHONE,FAX,WEBSITE,DESCRIPTION,,,
Account.001,United Partners*,New Delhi,"Mohandev, Tolstoy Marg",New Delhi,,110003,India,"Mohandev, Tolstoy Marg",New Delhi,,110003,India,(011) 24567982,(011) 24567983,http://www.unitedpartners.com,Formerly known as United Partners*,,,
Account.004,Shyam Garments,Mumbai,"Ground Floor, Fun Republic Multiplex, Off Link Road, Andheri(W)",Mumbai,,400053,India,"Ground Floor, Fun Republic Multiplex, Off Link Road, Andheri(W)",Mumbai,,400053,India,(022) 56722626,(022) 56722629,http://www.shyamgarments.com,Up and coming player in the space.,,,
Account.002,Amar Textiles Ltd.,Noida,Sector 18,Noida,,201301,India,Sector 18,Noida,,201301,India,(0120) 4271919,(0120) 4271920,http://www.amartextiles.com,Market leader in its field.,,,
Account.010,Ram Distributors,Agra,Fatehabad Rd,Agra,,282001,India,Fatehabad Rd,Agra,,282001,India,(0562) 2235178,(0562) 2235179,http://www.ramdistributors.com,Up and coming player in the space.,,,
Account.006,Lodhi Group,Kolkata,Park Street,Kolkata,,700016,India,Park Street,Kolkota,,700016,India,(033) 23519827,(033) 23519828,http://www.lodhigroup.com,An innovator in its area.,,,
Account.007,Shiv Motors,New Delhi,"Rajiv Chowk, A Block, Connaught Place",New Delhi,,110003,India,"Rajiv Chowk, A Block, Connaught Place",New Delhi,,110003,India,(011) 23456171,(011) 23456172,http://www.shivmotors.com,Up and coming player in the space.,,,
Account.008,Vand Enterprises,New Delhi,"Mahatma Gandhi Marg, South Extension 2",New Delhi,,110049,India,"Mahatma Gandhi Marg, South Extension 2",New Delhi,,110049,India,(011) 23786171,(011) 23786179,http://www.vandenterprises.com,An innovator in its area.,,,
Account.009,Allied Technologies,Bangalore,"The Forum, Hosur Road, Adugodi",Bangalore,,560095,India,"The Forum, Hosur Road, Adugodi",Bangalore,,560095,India,(080) 26556177,(080) 26556178,http://www.alliedtechnologies.com,Up and coming player in the space.,,,
Account.003,Golconda Distributors,Hyderabad,"City Centre Mall, Banjara Hills",Hyderabad,,500034,India,"City Centre Mall, Banjara Hills",Hyderabad,,500034,India,(040) 25656171,(040) 25656173,http://www.golconda.com,Market leader in its field.,,,
Account.005,Bombay Fabrics Ltd.,Bangalore,"Sigma Mall, Cunningham Road",Bangalore,,560052,India,"Sigma Mall, Cunningham Road",Bangalore,,560052,India,(080) 26555198,(080) 26555199,http://www.bombayfabrics.com,An innovator in its area.,,,
PAccount,FIRSTNAME,LASTNAME,BILLINGSTREET,BILLINGCITY,BILLINGSTATE,BILLINGPOSTALCODE,BILLINGCOUNTRY,SHIPPINGSTREET,SHIPPINGCITY,SHIPPINGSTATE,SHIPPINGPOSTALCODE,SHIPPINGCOUNTRY,PHONE,FAX,WEBSITE,DESCRIPTION,,,
PAccount.011,Asha,Malhotra,Park Street,Kolkata,,700016,India,Park Street,Kolkata,,700016,India,(033) 23671919,(033) 23671920,,,,,
PAccount.013,Snigdha,Rajvanshi,"Rajiv Chowk, A Block, Connaught Place",New Delhi,,110003,India,"Rajiv Chowk, A Block, Connaught Place",New Delhi,,110003,India,(011) 24657877,(011) 24657878,,,,,
PAccount.012,Rohit,Kaul,Sector 18,Noida,,201301,India,Sector 18,Noida,,201301,India,(0120) 4278671,(0120) 4278674,,,,,
PAccount.014,Aastha,Bansal,"City Centre Mall, Banjara Hills",Hyderabad,,500034,India,"City Centre Mall, Banjara Hills",Hyderabad,,500034,India,(040) 25106171,(040) 25656268,,,,,
PAccount.015,Sonali,Duggal,"Sigma Mall, Cunningham Road",Bangalore,,560052,India,"Sigma Mall, Cunningham Road",Bangalore,,560052,India,(080) 24618199,(080) 24671581,,,,,
PAccount.016,Ayush,Nagpal,"Brahmaputra Market, Sector 29",Noida,,201301,India,"Brahmaputra Market, Sector 29",Noida,,201301,India,(0120) 4278199,(0120) 4711261,,,,,
PAccount.017,Ravi,Kumar,"Rajiv Chowk, B Block, Connaught Place",New Delhi,,110003,India,"Rajiv Chowk, B Block, Connaught Place",New Delhi,,110003,India,(011) 24516771,(011) 24618235,,,,,
PAccount.018,Deepti,Kapoor,Sector 27,Noida,,201301,India,Sector 27,Noida,,201301,India,(0120) 4271819,(0120) 4251718,,,,,
PAccount.019,Gayatri,Rai,"Mahatma Gandhi Marg, South Extention Part 2",New Delhi,,110049,India,"Mahatma Gandhi Marg, South Extention Part 2",New Delhi,,110049,India,(011) 24517178,(011) 25465179,,,,,
